Category,TotalSales,Date
Сухарики,3,01/01/0001 00:00:00
Пиво,6,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Хліб,2,01/01/0001 00:00:00
М'ясо,4,01/01/0001 00:00:00
Солодка вода,5,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Жувальна гумка,1,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Консерви,2,01/01/0001 00:00:00
Морозиво,5,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Молоко,2,01/01/0001 00:00:00
Йогурт,3,01/01/0001 00:00:00
Солодка вода,2,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Квас,1,01/01/0001 00:00:00
Бакалія,1,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Порошок для прання,1,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Гель для душу,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Бренді,2,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
М'ясо,5,01/01/0001 00:00:00
Солодка вода,13,01/01/0001 00:00:00
Вино,1,01/01/0001 00:00:00
Сухарики,11,01/01/0001 00:00:00
Пиво,19,01/01/0001 00:00:00
Квас,3,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Жувальна гумка,3,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Бакалія,3,01/01/0001 00:00:00
Цукерки,2,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Сир твердий,3,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Чай,2,01/01/0001 00:00:00
Ікра червона,1,01/01/0001 00:00:00
Морозиво,10,01/01/0001 00:00:00
М'ясо,2,01/01/0001 00:00:00
Сухарики,3,01/01/0001 00:00:00
Пиво,6,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Хліб,2,01/01/0001 00:00:00
М'ясо,4,01/01/0001 00:00:00
Солодка вода,5,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Жувальна гумка,1,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Консерви,2,01/01/0001 00:00:00
Морозиво,5,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Молоко,2,01/01/0001 00:00:00
Йогурт,3,01/01/0001 00:00:00
Солодка вода,2,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Квас,1,01/01/0001 00:00:00
Бакалія,1,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Порошок для прання,1,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Гель для душу,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Бренді,2,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
М'ясо,5,01/01/0001 00:00:00
Солодка вода,13,01/01/0001 00:00:00
Вино,1,01/01/0001 00:00:00
Сухарики,11,01/01/0001 00:00:00
Пиво,19,01/01/0001 00:00:00
Квас,3,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Жувальна гумка,3,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Бакалія,3,01/01/0001 00:00:00
Цукерки,2,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Сир твердий,3,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Чай,2,01/01/0001 00:00:00
Ікра червона,1,01/01/0001 00:00:00
Морозиво,10,01/01/0001 00:00:00
М'ясо,2,01/01/0001 00:00:00
Печиво,5,01/01/0001 00:00:00
Печиво,5,01/01/0001 00:00:00
Сухарики,3,01/01/0001 00:00:00
Пиво,6,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Хліб,2,01/01/0001 00:00:00
М'ясо,4,01/01/0001 00:00:00
Солодка вода,5,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Жувальна гумка,1,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Консерви,2,01/01/0001 00:00:00
Морозиво,5,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Молоко,2,01/01/0001 00:00:00
Йогурт,3,01/01/0001 00:00:00
Солодка вода,2,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Квас,1,01/01/0001 00:00:00
Бакалія,1,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Порошок для прання,1,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Гель для душу,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Бренді,2,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
М'ясо,5,01/01/0001 00:00:00
Солодка вода,13,01/01/0001 00:00:00
Вино,1,01/01/0001 00:00:00
Сухарики,11,01/01/0001 00:00:00
Пиво,19,01/01/0001 00:00:00
Квас,3,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Жувальна гумка,3,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Бакалія,3,01/01/0001 00:00:00
Цукерки,2,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Сир твердий,3,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Чай,2,01/01/0001 00:00:00
Ікра червона,1,01/01/0001 00:00:00
Морозиво,10,01/01/0001 00:00:00
М'ясо,2,01/01/0001 00:00:00
Сухарики,3,01/01/0001 00:00:00
Пиво,6,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Хліб,2,01/01/0001 00:00:00
М'ясо,4,01/01/0001 00:00:00
Солодка вода,5,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Жувальна гумка,1,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Консерви,2,01/01/0001 00:00:00
Морозиво,5,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Молоко,2,01/01/0001 00:00:00
Йогурт,3,01/01/0001 00:00:00
Солодка вода,2,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Квас,1,01/01/0001 00:00:00
Бакалія,1,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Порошок для прання,1,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Гель для душу,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Бренді,2,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
М'ясо,5,01/01/0001 00:00:00
Солодка вода,13,01/01/0001 00:00:00
Вино,1,01/01/0001 00:00:00
Сухарики,11,01/01/0001 00:00:00
Пиво,19,01/01/0001 00:00:00
Квас,3,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Жувальна гумка,3,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Бакалія,3,01/01/0001 00:00:00
Цукерки,2,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Сир твердий,3,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Чай,2,01/01/0001 00:00:00
Ікра червона,1,01/01/0001 00:00:00
Морозиво,10,01/01/0001 00:00:00
М'ясо,2,01/01/0001 00:00:00
Сухарики,3,01/01/0001 00:00:00
Пиво,6,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Хліб,2,01/01/0001 00:00:00
М'ясо,4,01/01/0001 00:00:00
Солодка вода,5,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Жувальна гумка,1,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Консерви,2,01/01/0001 00:00:00
Морозиво,5,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Молоко,2,01/01/0001 00:00:00
Йогурт,3,01/01/0001 00:00:00
Солодка вода,2,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Квас,1,01/01/0001 00:00:00
Бакалія,1,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Порошок для прання,1,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Гель для душу,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Бренді,2,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
М'ясо,5,01/01/0001 00:00:00
Солодка вода,13,01/01/0001 00:00:00
Вино,1,01/01/0001 00:00:00
Сухарики,11,01/01/0001 00:00:00
Пиво,19,01/01/0001 00:00:00
Квас,3,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Жувальна гумка,3,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Бакалія,3,01/01/0001 00:00:00
Цукерки,2,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Сир твердий,3,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Чай,2,01/01/0001 00:00:00
Ікра червона,1,01/01/0001 00:00:00
Морозиво,10,01/01/0001 00:00:00
М'ясо,2,01/01/0001 00:00:00
Сухарики,3,01/01/0001 00:00:00
Пиво,6,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Хліб,2,01/01/0001 00:00:00
М'ясо,4,01/01/0001 00:00:00
Солодка вода,5,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Жувальна гумка,1,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Консерви,2,01/01/0001 00:00:00
Морозиво,5,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Молоко,2,01/01/0001 00:00:00
Йогурт,3,01/01/0001 00:00:00
Солодка вода,2,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Квас,1,01/01/0001 00:00:00
Бакалія,1,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Порошок для прання,1,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Гель для душу,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Бренді,2,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
М'ясо,5,01/01/0001 00:00:00
Солодка вода,13,01/01/0001 00:00:00
Вино,1,01/01/0001 00:00:00
Сухарики,11,01/01/0001 00:00:00
Пиво,19,01/01/0001 00:00:00
Квас,3,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Жувальна гумка,3,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Бакалія,3,01/01/0001 00:00:00
Цукерки,2,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Сир твердий,3,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Чай,2,01/01/0001 00:00:00
Ікра червона,1,01/01/0001 00:00:00
Морозиво,10,01/01/0001 00:00:00
М'ясо,2,01/01/0001 00:00:00
Сухарики,3,01/01/0001 00:00:00
Пиво,6,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Хліб,2,01/01/0001 00:00:00
М'ясо,4,01/01/0001 00:00:00
Солодка вода,5,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Жувальна гумка,1,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Консерви,2,01/01/0001 00:00:00
Морозиво,5,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Молоко,2,01/01/0001 00:00:00
Йогурт,3,01/01/0001 00:00:00
Солодка вода,2,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Квас,1,01/01/0001 00:00:00
Бакалія,1,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Порошок для прання,1,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Гель для душу,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Бренді,2,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
М'ясо,5,01/01/0001 00:00:00
Солодка вода,13,01/01/0001 00:00:00
Вино,1,01/01/0001 00:00:00
Сухарики,11,01/01/0001 00:00:00
Пиво,19,01/01/0001 00:00:00
Квас,3,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Жувальна гумка,3,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Бакалія,3,01/01/0001 00:00:00
Цукерки,2,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Сир твердий,3,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Чай,2,01/01/0001 00:00:00
Ікра червона,1,01/01/0001 00:00:00
Морозиво,10,01/01/0001 00:00:00
М'ясо,2,01/01/0001 00:00:00
Сухарики,3,01/01/0001 00:00:00
Пиво,6,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Хліб,2,01/01/0001 00:00:00
М'ясо,4,01/01/0001 00:00:00
Солодка вода,5,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Жувальна гумка,1,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Консерви,2,01/01/0001 00:00:00
Морозиво,5,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Молоко,2,01/01/0001 00:00:00
Йогурт,3,01/01/0001 00:00:00
Солодка вода,2,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Квас,1,01/01/0001 00:00:00
Бакалія,1,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Порошок для прання,1,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Гель для душу,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Бренді,2,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
М'ясо,5,01/01/0001 00:00:00
Солодка вода,13,01/01/0001 00:00:00
Вино,1,01/01/0001 00:00:00
Сухарики,11,01/01/0001 00:00:00
Пиво,19,01/01/0001 00:00:00
Квас,3,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Жувальна гумка,3,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Бакалія,3,01/01/0001 00:00:00
Цукерки,2,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Сир твердий,3,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Чай,2,01/01/0001 00:00:00
Ікра червона,1,01/01/0001 00:00:00
Морозиво,10,01/01/0001 00:00:00
М'ясо,2,01/01/0001 00:00:00
Сухарики,3,01/01/0001 00:00:00
Пиво,6,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Хліб,2,01/01/0001 00:00:00
М'ясо,4,01/01/0001 00:00:00
Солодка вода,5,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Жувальна гумка,1,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Консерви,2,01/01/0001 00:00:00
Морозиво,5,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Молоко,2,01/01/0001 00:00:00
Йогурт,3,01/01/0001 00:00:00
Солодка вода,2,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Квас,1,01/01/0001 00:00:00
Бакалія,1,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Порошок для прання,1,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Гель для душу,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Бренді,2,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
М'ясо,5,01/01/0001 00:00:00
Солодка вода,13,01/01/0001 00:00:00
Вино,1,01/01/0001 00:00:00
Сухарики,11,01/01/0001 00:00:00
Пиво,19,01/01/0001 00:00:00
Квас,3,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Жувальна гумка,3,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Бакалія,3,01/01/0001 00:00:00
Цукерки,2,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Сир твердий,3,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Чай,2,01/01/0001 00:00:00
Ікра червона,1,01/01/0001 00:00:00
Морозиво,10,01/01/0001 00:00:00
М'ясо,2,01/01/0001 00:00:00
Сухарики,3,01/01/0001 00:00:00
Пиво,6,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Хліб,2,01/01/0001 00:00:00
М'ясо,4,01/01/0001 00:00:00
Солодка вода,5,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Жувальна гумка,1,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Консерви,2,01/01/0001 00:00:00
Морозиво,5,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Молоко,2,01/01/0001 00:00:00
Йогурт,3,01/01/0001 00:00:00
Солодка вода,2,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Квас,1,01/01/0001 00:00:00
Бакалія,1,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Порошок для прання,1,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Гель для душу,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Бренді,2,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Печиво,1,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
М'ясо,5,01/01/0001 00:00:00
Солодка вода,13,01/01/0001 00:00:00
Вино,1,01/01/0001 00:00:00
Сухарики,11,01/01/0001 00:00:00
Пиво,19,01/01/0001 00:00:00
Квас,3,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Кава,1,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Жувальна гумка,3,01/01/0001 00:00:00
Шампунь,1,01/01/0001 00:00:00
Бакалія,3,01/01/0001 00:00:00
Цукерки,2,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Засіб для миття посуду,1,01/01/0001 00:00:00
Сир твердий,3,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Чай,2,01/01/0001 00:00:00
Ікра червона,1,01/01/0001 00:00:00
Морозиво,10,01/01/0001 00:00:00
М'ясо,2,01/01/0001 00:00:00
Сухарики,3,01/01/0001 00:00:00
Пиво,6,01/01/0001 00:00:00
Віскі,1,01/01/0001 00:00:00
Овочі,4,01/01/0001 00:00:00
Хліб,2,01/01/0001 00:00:00
М'ясо,4,01/01/0001 00:00:00
Солодка вода,5,01/01/0001 00:00:00
Печиво,3,01/01/0001 00:00:00
Чай,1,01/01/0001 00:00:00
Жувальна гумка,1,01/01/0001 00:00:00
Сир твердий,2,01/01/0001 00:00:00
Хліб,3,01/01/0001 00:00:00
Вино,2,01/01/0001 00:00:00
Ковбаса,1,01/01/0001 00:00:00
Фрукти,3,01/01/0001 00:00:00
Ігристе вино,1,01/01/0001 00:00:00
Консерви,2,01/01/0001 00:00:00
Морозиво,5,01/01/0001 00:00:00
